Designator,Mid X,Mid Y,Rotation,Layer
D1,28.575,-39.37,90.0,top
D10,47.625,-77.47,90.0,top
D11,66.675,-77.47,90.0,top
D12,85.725,-77.47,90.0,top
D13,28.575,-96.52,90.0,top
D14,47.625,-96.52,90.0,top
D15,66.675,-96.52,90.0,top
D16,85.725,-96.52,90.0,top
D2,47.625,-39.37,90.0,top
D3,66.675,-39.37,90.0,top
D4,85.725,-39.37,90.0,top
D5,28.575,-58.42,90.0,top
D6,47.625,-58.42,90.0,top
D7,66.675,-58.42,90.0,top
D8,85.725,-58.42,90.0,top
D9,28.575,-77.47,90.0,top
J1,124.625,-100.215,180.0,top
LED1,38.1,-44.45,0.0,top
LED10,57.15,-82.55,0.0,top
LED11,76.835,-82.55,0.0,top
LED12,95.25,-82.55,0.0,top
LED13,95.25,-101.6,180.0,top
LED14,76.2,-101.6,180.0,top
LED15,57.15,-101.6,180.0,top
LED16,38.1,-101.6,180.0,top
LED2,57.15,-44.45,0.0,top
LED3,76.2,-44.45,0.0,top
LED4,95.25,-44.45,0.0,top
LED5,95.25,-63.5,180.0,top
LED6,76.2,-63.5,180.0,top
LED7,57.15,-63.5,180.0,top
LED8,38.1,-63.5,180.0,top
LED9,38.1,-82.55,0.0,top
R1,107.95,-61.468,270.0,top
SW1,38.1,-38.1,0.0,top
SW10,57.15,-76.2,0.0,top
SW11,76.2,-76.2,0.0,top
SW12,95.25,-76.2,0.0,top
SW13,38.1,-95.25,0.0,top
SW14,57.15,-95.25,0.0,top
SW15,76.2,-95.25,0.0,top
SW16,95.25,-95.25,0.0,top
SW17,150.23,-35.52,0.0,top
SW18,133.72,-73.62,0.0,top
SW2,57.15,-38.1,0.0,top
SW3,76.2,-38.1,0.0,top
SW4,95.25,-38.1,0.0,top
SW5,38.1,-57.15,0.0,top
SW6,57.15,-57.15,0.0,top
SW7,76.2,-57.15,0.0,top
SW8,95.25,-57.15,0.0,top
SW9,38.1,-76.2,0.0,top
U2,118.745,-43.18,180.0,top
